ID,Name,Rarity,Category,Sell,Buy
614,Dragon Treasure,3,Account Items,800,8000
616,Sunbloom,2,Account Items,12,120
617,Shinebloom,3,Account Items,27,270
618,Goldbloom,4,Account Items,140,1400
619,Gourmet Shroomcap,2,Account Items,10,100
620,Exquisite Shroomcap,3,Account Items,25,250
621,Spirit Shroomcap,4,Account Items,150,1500
622,Bauble Cactus,2,Account Items,14,140
623,Jewel Cactus,3,Account Items,28,280
624,Kingly Cactus,4,Account Items,160,1600
625,Hardfruit,2,Account Items,12,120
626,Rockfruit,3,Account Items,24,240
627,Wildfruit,4,Account Items,145,1450
628,Super Abalone,2,Account Items,16,160
629,Choice Abalone,3,Account Items,36,360
630,Precious Abalone,4,Account Items,210,2100
631,Light Pearl,2,Account Items,18,180
632,Deep Pearl,3,Account Items,38,380
633,Innocent Pearl,4,Account Items,180,1800
634,Forgotten Fossil,2,Account Items,15,150
635,Legendary Fossil,3,Account Items,35,350
636,Mystical Fossil,4,Account Items,200,2000
637,Underground Fruit,2,Account Items,14,140
638,Tainted Fruit,3,Account Items,34,340
639,Elysian Fruit,4,Account Items,190,1900
640,Gaia Amber,2,Account Items,30,300
641,Dragonvein Amber,3,Account Items,50,500
642,Ancient Amber,4,Account Items,250,2500
643,Blue Beryl,2,Account Items,32,320
644,True Beryl,3,Account Items,54,540
645,Abyssal Beryl,4,Account Items,260,2600
646,Sunkissed Grass,4,Account Items,100,1000
647,Moonlit Mushroom,4,Account Items,88,880
648,Dragonbloom,4,Account Items,84,840
649,Divineapple,4,Account Items,80,800
650,Violet Abalone,4,Account Items,78,780
651,Platinum Pearl,4,Account Items,90,900
652,Wicked Fossil,4,Account Items,110,1100
653,Heavenberry,4,Account Items,90,900
654,Twilight Stone,4,Account Items,190,1900
655,Noahstone,4,Account Items,210,2100
656,Wyvern Egg,5,Account Items,250,2500
657,Herbivore Egg,4,Account Items,200,2000
658,Lump of Meat,4,Account Items,300,3000
659,Shepherd Hare,2,Endemic Life,7,70
660,Pilot Hare,4,Endemic Life,77,770
661,Woodland Pteryx,2,Endemic Life,8,80
662,Forest Pteryx,4,Endemic Life,200,2000
663,Cobalt Flutterfly,2,Endemic Life,6,60
664,Phantom Flutterfly,4,Endemic Life,120,1200
665,Climbing Joyperch,2,Endemic Life,5,50
666,Forest Gekko,2,Endemic Life,7,70
667,Wildspire Gekko,2,Endemic Life,6,60
668,Gloom Gekko,3,Endemic Life,8,80
669,Moonlight Gekko,4,Endemic Life,220,2200
670,Vaporonid,2,Endemic Life,5,50
671,Scavantula,3,Endemic Life,8,80
672,Revolture,2,Endemic Life,12,120
673,Blissbill,2,Endemic Life,15,150
674,Omenfly,2,Endemic Life,6,60
675,Augurfly,4,Endemic Life,180,1800
676,Scalebat,2,Endemic Life,7,70
677,Dung Beetle,2,Endemic Life,6,60
678,Bomb Beetle,3,Endemic Life,10,100
679,Pink Parexus,2,Endemic Life,15,150
680,Great Pink Parexus,4,Endemic Life,200,2000
681,Burst Arowana,2,Endemic Life,18,180
682,Bomb Arowana,2,Endemic Life,20,200
683,Great Burst Arowana,4,Endemic Life,180,1800
684,Great Bomb Arowana,4,Endemic Life,200,2000
685,Elegant Coralbird,3,Endemic Life,8,80
686,Dapper Coralbird,4,Endemic Life,180,1800
687,Andangler,3,Endemic Life,20,200
688,Downy Crake,4,Endemic Life,200,2000
689,Bristly Crake,4,Endemic Life,800,8000
690,Hopguppy,2,Endemic Life,3,30
691,Petricanths,4,Endemic Life,500,500
692,Paratoad,2,Endemic Life,20,200
693,Sleeptoad,3,Endemic Life,24,240
694,Nitrotoad,3,Endemic Life,30,300
695,Wiggler,3,Endemic Life,12,120
696,Wiggler Queen,4,Endemic Life,180,1800
697,Vigorwasp,2,Endemic Life,10,100
698,Giant Vigorwasp,2,Endemic Life,40,400
699,Flying Meduso,3,Endemic Life,7,70
700,Carrier Ant,2,Endemic Life,6,60
701,Hercudrome,2,Endemic Life,25,250
702,Gold Hercudrome,2,Endemic Life,200,2000
703,Prism Hercudrome,4,Endemic Life,500,5000
704,Emperor Hopper,2,Endemic Life,8,80
705,Tyrant Hopper,4,Endemic Life,10,100
706,Flashfly,2,Endemic Life,12,120
707,Grandfather Mantagrell,3,Endemic Life,25,250
708,Iron Helmcrab,2,Endemic Life,8,80
709,Soldier Helmcrab,3,Endemic Life,11,110
710,Emerald Helmcrab,4,Endemic Life,240,2400
711,Whetfish,2,Endemic Life,12,120
712,Great Whetfish,4,Endemic Life,120,1200
713,Gastronome Tuna,2,Endemic Life,150,1500
714,Great Gastronome Tuna,4,Endemic Life,400,4000
715,King Marlin,4,Endemic Life,180,1800
716,Great King Marlin,4,Endemic Life,560,5600
717,Goldenfish,3,Endemic Life,30,300
718,Platinumfish,3,Endemic Life,60,600
719,Great Goldenfish,4,Endemic Life,150,1500
720,Great Platinumfish,4,Endemic Life,300,3000
721,Goldenfry,2,Endemic Life,20,200
722,Great Goldenfry,4,Endemic Life,200,2000
723,Sushifish,2,Endemic Life,15,150
724,Great Sushifish,4,Endemic Life,150,1500
725,Gunpowderfish,3,Endemic Life,22,220
726,Great Gunpowderfish,4,Endemic Life,170,1700
727,Antidote Jewel 1,5,Decorations,100,1000
728,Antipara Jewel 1,5,Decorations,100,1000
729,Pep Jewel 1,5,Decorations,100,1000
730,Steadfast Jewel 1,6,Decorations,400,4000
731,Antiblast Jewel 1,5,Decorations,100,1000
732,Suture Jewel 1,5,Decorations,100,1000
733,Def Lock Jewel 1,5,Decorations,100,1000
734,Earplug Jewel 3,6,Decorations,400,4000
735,Wind Resist Jewel 2,6,Decorations,400,4000
736,Footing Jewel 2,6,Decorations,400,4000
739,Attack Jewel 1,7,Decorations,400,4000
740,Defense Jewel 1,6,Decorations,400,4000
741,Vitality Jewel 1,6,Decorations,400,4000
742,Recovery Jewel 1,6,Decorations,400,4000
743,Fire Res Jewel 1,5,Decorations,100,1000
744,Water Res Jewel 1,5,Decorations,100,1000
745,Ice Res Jewel 1,5,Decorations,100,1000
746,Thunder Res Jewel 1,5,Decorations,100,1000
747,Dragon Res Jewel 1,5,Decorations,100,1000
748,Resistor Jewel 1,6,Decorations,400,4000
749,Blaze Jewel 1,6,Decorations,400,4000
750,Stream Jewel 1,6,Decorations,400,4000
751,Frost Jewel 1,6,Decorations,400,4000
752,Bolt Jewel 1,6,Decorations,400,4000
753,Dragon Jewel 1,6,Decorations,400,4000
754,Venom Jewel 1,6,Decorations,400,4000
755,Paralyzer Jewel 1,7,Decorations,2000,20000
756,Sleep Jewel 1,7,Decorations,2000,20000
757,Blast Jewel 1,7,Decorations,2000,20000
758,Poisoncoat Jewel 3,6,Decorations,400,4000
759,Paracoat Jewel 3,7,Decorations,2000,20000
760,Sleepcoat Jewel 3,7,Decorations,2000,20000
761,Blastcoat Jewel 3,7,Decorations,2000,20000
763,Release Jewel 3,8,Decorations,4000,40000
764,Expert Jewel 1,6,Decorations,2000,20000
765,Critical Jewel 2,8,Decorations,4000,40000
766,Tenderizer Jewel 2,6,Decorations,400,4000
767,Charger Jewel 2,8,Decorations,4000,40000
768,Handicraft Jewel 3,8,Decorations,4000,40000
769,Draw Jewel 2,8,Decorations,4000,40000
770,Destroyer Jewel 2,6,Decorations,400,4000
771,KO Jewel 2,6,Decorations,400,4000
772,Drain Jewel 1,6,Decorations,400,4000
774,Flight Jewel 2,5,Decorations,100,1000
775,Throttle Jewel 2,7,Decorations,2000,20000
776,Challenger Jewel 2,7,Decorations,2000,20000
777,Flawless Jewel 2,7,Decorations,2000,20000
778,Potential Jewel 2,7,Decorations,2000,20000
779,Fortitude Jewel 1,5,Decorations,100,1000
780,Furor Jewel 2,7,Decorations,2000,20000
781,Sonorous Jewel 1,6,Decorations,400,4000
782,Magazine Jewel 2,7,Decorations,2000,20000
783,Trueshot Jewel 1,7,Decorations,2000,20000
784,Artillery Jewel 1,8,Decorations,4000,40000
785,Heavy Artillery Jewel 1,5,Decorations,100,1000
786,Sprinter Jewel 2,8,Decorations,4000,40000
787,Physique Jewel 2,6,Decorations,400,4000
789,Refresh Jewel 2,7,Decorations,2000,20000
790,Hungerless Jewel 1,5,Decorations,100,1000
791,Evasion Jewel 2,6,Decorations,400,4000
792,Jumping Jewel 2,6,Decorations,400,4000
793,Ironwall Jewel 1,7,Decorations,2000,20000
794,Sheath Jewel 1,6,Decorations,400,4000
795,Friendship Jewel 1,6,Decorations,400,4000
796,Enduring Jewel 1,6,Decorations,400,4000
797,Satiated Jewel 1,5,Decorations,100,1000
798,Gobbler Jewel 1,6,Decorations,400,4000
799,Grinder Jewel 1,6,Decorations,400,4000
800,Bomber Jewel 1,6,Decorations,400,4000
801,Fungiform Jewel 1,8,Decorations,4000,40000
808,Protection Jewel 1,5,Decorations,50,500
809,Meowster Jewel 1,5,Decorations,100,1000
810,Botany Jewel 1,5,Decorations,100,1000
811,Geology Jewel 1,5,Decorations,100,1000
812,Mighty Jewel 2,7,Decorations,2000,20000
813,Stonethrower Jewel 1,6,Decorations,400,4000
814,Tip Toe Jewel 1,5,Decorations,100,1000
815,Brace Jewel 3,6,Decorations,400,4000
819,Smoke Jewel 1,5,Decorations,100,1000
820,Mirewalker Jewel 1,5,Decorations,100,1000
824,Specimen Jewel 1,5,Decorations,100,1000
825,Miasma Jewel 1,5,Decorations,100,1000
826,Scent Jewel 1,5,Decorations,100,1000
828,Intimidator Jewel 1,5,Decorations,100,1000
832,Slider Jewel 2,6,Decorations,400,4000
833,Medicine Jewel 1,6,Decorations,400,4000
834,Forceshot Jewel 3,7,Decorations,2000,20000
835,Pierce Jewel 3,8,Decorations,4000,40000
836,Spread Jewel 3,8,Decorations,4000,40000
837,Enhancer Jewel 2,7,Decorations,2000,20000
838,Crisis Jewel 1,5,Decorations,100,1000
839,Dragonseal Jewel 3,7,Decorations,2000,20000
842,Maintenance Jewel 1,5,Decorations,100,1000
843,Vigorwasp Delivery,4,Palico Gadgets,0,0
844,Vigorwasp Station,4,Palico Gadgets,0,0
845,Flashfly Cage,4,Palico Gadgets,0,0
846,Thunderbug Cage,4,Palico Gadgets,0,0
847,Shieldspire Taunt,4,Palico Gadgets,0,0
848,Shieldspire Bash,4,Palico Gadgets,0,0
849,Coral Cheerhorn,4,Palico Gadgets,0,0
850,Coral Cheerbongo,4,Palico Gadgets,0,0
851,Plunderblade,4,Palico Gadgets,0,0
852,Palarang,4,Palico Gadgets,0,0
853,Meowlotov Assault,4,Palico Gadgets,0,0
854,Rath-of-Meow,4,Palico Gadgets,0,0
859,Stone,1,Slinger Ammo,0,0
860,Redpit,1,Slinger Ammo,0,0
861,Brightmoss,1,Slinger Ammo,0,0
862,Scatternut,1,Slinger Ammo,0,0
863,Torch Pod,1,Slinger Ammo,0,0
864,Bomb Pod,1,Slinger Ammo,0,0
865,Thorn Pod,1,Slinger Ammo,0,0
866,Piercing Pod,1,Slinger Ammo,0,0
867,Dragon Pod,1,Slinger Ammo,0,0
868,Crystalburst,1,Slinger Ammo,0,0
869,Puddle Pod,1,Slinger Ammo,0,0
870,Chillshroom,3,Materials,18,180
871,Tailraider Voucher,4,Materials,200,2000
872,Emerald Shell,4,Materials,1500,15000
873,Gajalaka Sketch,4,Materials,200,2000
874,Mighty Bow Jewel 2,8,Decorations,4000,40000
875,Mind's Eye Jewel 2,8,Decorations,4000,40000
876,Shield Jewel 2,7,Decorations,2000,20000
877,Sharp Jewel 2,7,Decorations,2000,20000
878,Elementless Jewel 2,6,Decorations,400,4000
879,Deviljho Scale,6,Materials,1600,1600
880,Deviljho Hide,6,Materials,2400,2400
881,Deviljho Tallfang,6,Materials,3200,3200
882,Deviljho Talon,6,Materials,3400,3400
883,Deviljho Scalp,6,Materials,4000,4000
884,Deviljho Tail,6,Materials,3600,3600
885,Deviljho Saliva,6,Materials,2200,2200
886,Deviljho Gem,7,Materials,9600,9600
887,Kulve Taroth Golden Scale,7,Materials,3000,3000
888,Kulve Taroth Golden Shell,7,Materials,4000,4000
889,Kulve Taroth Golden Nugget,7,Materials,1000,1000
890,Kulve Taroth Golden Spiralhorn,7,Materials,6000,6000
891,Kulve Taroth Golden Tailshell,7,Materials,5000,5000
892,Kulve Taroth Golden Glimstone,8,Materials,15000,15000
893,Golden Fragment,4,Materials,750,750
894,Golden Chunk,4,Materials,1500,1500
895,Lunastra Scale+,7,Materials,2300,2300
896,Lunastra Wing,7,Materials,4500,4500
897,Lunastra Gem,8,Materials,12000,12000
898,Lunastra Carapace,7,Materials,3400,3400
899,Lunastra Mane,7,Materials,3400,3400
900,Lunastra Tail,7,Materials,4900,4900
901,Lunastra Horn,7,Materials,5500,5500
902,Behemoth Mane,7,Materials,8000,8000
903,Behemoth Bone,7,Materials,7000,7000
904,Behemoth Great Horn,8,Materials,15000,15000
905,Behemoth Shearclaw,8,Materials,10000,10000
906,Behemoth Tail,8,Materials,12000,12000
907,Aetheryte Shard,7,Materials,5000,5000
908,Spring Blossom Ticket,4,Materials,200,2000
909,Summer Twilight Ticket,4,Materials,200,2000
910,Autumn Harvest Ticket,4,Materials,200,2000
911,Winter Star Ticket,4,Materials,200,2000
912,Appreciation Ticket,4,Materials,200,2000
913,Spring Insect Field Guide,4,Materials,200,2000
914,Summer Insect Field Guide,4,Materials,200,2000
915,Vaal Hazak Ticket,8,Materials,800,8000
916,Kirin Ticket,8,Materials,800,8000
917,Teostra Ticket,8,Materials,800,8000
918,Kushala Daora Ticket,8,Materials,800,8000
919,Nergigante Ticket,8,Materials,800,8000
920,Zorah Magdaros Ticket,8,Materials,800,8000
921,Xeno'jiiva Ticket,8,Materials,800,8000
922,Black Bandage,6,Materials,400,4000
923,Black Crystal Ticket,6,Materials,400,4000
924,Kulu-Ya-Ku Ticket,6,Materials,400,4000
925,Wiggler Ticket,6,Materials,400,4000
928,Mega Man Ticket,6,Materials,400,4000
929,SFV Ticket,4,Materials,200,2000
930,SFV Ticket III,6,Materials,400,4000
931,SFV Ticket II,6,Materials,400,4000
932,Azure Star Shard,4,Materials,200,2000
933,Azure Stargem,6,Materials,400,4000
934,Red Orb,8,Materials,800,8000
935,Master Craftsman's Blueprint,6,Materials,800,8000
936,Dissolved Weapon,4,Materials,400,4000
937,Melded Weapon,5,Materials,500,5000
938,Sublimated Weapon,6,Materials,600,6000
939,Bushi Ticket,4,Materials,400,4000
940,Blossom Fireworks,3,Materials,7,70
941,Twilight Fireworks,3,Materials,7,70
942,Harvest Fireworks,3,Materials,7,70
943,Star Fireworks,3,Materials,7,70
944,Appreciation Fireworks,3,Materials,7,70
945,Gold Scalebat,2,Endemic Life,11,110
946,Gold Helmcrab,3,Endemic Life,14,140
947,Shiny Gold Helmcrab,4,Endemic Life,120,1200
948,Copper Calappa,3,Endemic Life,8,80
949,Gold Calappa,4,Endemic Life,100,1000
950,Tsuchinoko,4,Endemic Life,500,5000
951,Cactuar Cutting,4,Endemic Life,85,850
952,Gold Chip Fragment,4,Materials,300,3000
953,Gold Nugget Fragment,4,Materials,900,9000
955,Senu's Feather,4,Materials,400,4000
956,Igni Sign,4,Support Items,0,0
957,Hunter Runestone,4,Support Items,0,0
958,Nekker,4,Endemic Life,350,3500
961,Downy Crake Ticket,4,Materials,400,4000
962,Bristly Crake Ticket,4,Materials,400,4000
963,First Fleet Ticket,4,Materials,400,4000
964,Fifth Fleet Ticket,4,Materials,400,4000
965,Lunastra Ticket,8,Materials,800,8000
966,Transparent Stone,5,Account Items,500,5000
967,Flowering Cactuar Cutting,4,Endemic Life,1000,10000
968,Cactuar,4,Endemic Life,300,3000
969,Faux Ticket,4,Materials,400,4000
970,Faux Ticket II,4,Materials,400,4000
971,Faux Ticket III,4,Materials,400,4000
972,Beetle Ticket,4,Materials,400,4000
975,Glamour Prism,8,Materials,800,8000
977,Incandescent Weapon,7,Materials,700,7000
978,Kulve Taroth Emperor Nugget,8,Materials,2000,2000
979,Leshen Claw,6,Materials,3000,3000
980,Ancient Leshen Claw,7,Materials,3600,3600
981,Leshen Skull,7,Materials,4000,4000
982,Ancient Leshen Skull,8,Materials,5000,5000
983,Cursed Bone,6,Materials,2800,2800
984,Ancient Cursed Bone,7,Materials,3400,3400
985,Leshen Antlers,6,Materials,3400,3400
986,Ancient Leshen Antlers,7,Materials,4000,4000
987,Leshen Resin,6,Materials,2600,2600
988,Mutagen,8,Materials,9600,9600
989,Nekker Card (Weapon),8,Materials,0,0
990,Nekker Card (Armor),8,Materials,0,0
999,Assassin's Hood,4,Specialized Tools,0,0
1000,Hot Drink,1,Support Items,25,250
1003,Gourmet Voucher,5,Materials,1000,10000
1004,Surveyor Set,4,Fixed Items,0,0
1005,Raider Ride,4,Fixed Items,0,0
1006,Hot Pepper,1,Support Items,14,140
1007,Gloamgrass Bud,4,Support Items,40,400
1008,Dust of Life,6,Support Items,690,6900
1009,Crystalized Bone Shard,9,Account Items,100,1000
1010,Crystalized Monster Bone,10,Account Items,250,2500
1011,Crystalized Elder Dragon Bone,11,Account Items,700,7000
1022,Vigorwasp Revival,4,Palico Gadgets,0,0
1023,Boombug Cage,4,Palico Gadgets,0,0
1024,Shieldspire Stooge,4,Palico Gadgets,0,0
1025,Coral Sonicgong,4,Palico Gadgets,0,0
1026,Mount & Plunder,4,Palico Gadgets,0,0
1027,Meowcano,4,Palico Gadgets,0,0
1028,zenny,1,Currencies,1,1
1029,Research Points,1,Currencies,1,1
1030,Eltalite Ore,9,Materials,1280,12800
1031,Meldspar Ore,9,Materials,1920,19200
1032,Spiritvein Crystal,9,Materials,1280,12800
1034,Purecrystal,10,Materials,7320,73200
1036,Bathycite Ore,9,Materials,1620,16200
1037,Gracium,9,Materials,1540,15400
1038,Phantomcore Ore,10,Materials,3200,32000
1039,Shadowcore Ore,11,Materials,4000,40000
1040,King Armor Sphere,9,Materials,700,7000
1041,True Armor Sphere,10,Materials,800,8000
1042,Thick Bone,9,Materials,1200,12000
1043,Frozen Bone,9,Materials,2400,24000
1044,Dragonbone Artifact,10,Materials,2000,20000
1048,Ancient Fragment,9,Materials,540,5400
1049,Monster Toughbone,9,Materials,2000,20000
1050,Monster Slogbone,10,Materials,2300,23000
1051,Monster Solidbone,10,Materials,2600,26000
1053,Large Elder Dragon Bone,12,Materials,3200,32000
1054,Tough Claw,9,Materials,2000,20000
1055,Monster Essence,9,Materials,2000,20000
1056,Deadly Poison Sac,9,Materials,3400,34000
1057,Ultraplegia Sac,9,Materials,3400,34000
1058,Torpor Sac,9,Materials,3400,34000
1059,Conflagrant Sac,9,Materials,3400,34000
1060,Flood Sac,9,Materials,3400,34000
1061,Cryo Sac,9,Materials,4200,42000
1062,Lightning Sac,9,Materials,3400,34000
1063,Fey Wyvern Gem,9,Materials,8000,80000
1064,Large Wyvern Gem,9,Materials,8000,80000
1065,Pure Dragon Blood,11,Materials,4800,48000
1066,Large Elder Dragon Gem,12,Materials,21000,210000
1068,Prized Pelt,9,Materials,1020,10200
1069,Anteka Antler,9,Materials,460,4600
1071,Vespoid Razorwing,9,Materials,1960,19600
1073,Hornetaur Razorwing,9,Materials,2120,21200
1075,Gajau Thickhide,9,Materials,1680,16800
1076,Steel Gajau Whisker,9,Materials,1920,19200
1077,Wingdrake Finehide,9,Materials,1240,12400
1078,Barnos Hardclaw,9,Materials,2280,22800
1080,Cortos Hardclaw,9,Materials,1450,14500
1081,Kestodon Husk,9,Materials,1320,13200
1083,Gastodon Husk,9,Materials,2140,21400
1085,Jagras Shard,9,Materials,960,9600
1087,Shamos Shard,9,Materials,1580,15800
1089,Girros Shard,9,Materials,1760,17600
1091,Wulg Thickfur,9,Materials,1240,12400
1093,Great Jagras Shard,9,Materials,1320,13200
1094,Great Jagras Thickhide,9,Materials,1840,1840
1095,Great Jagras Hardclaw,9,Materials,2440,24400
1096,Great Jagras Mane+,9,Materials,2480,24800
1097,Kulu-Ya-Ku Shard,9,Materials,1350,13500
1098,Kulu-Ya-Ku Thickhide,9,Materials,1950,19500
1099,Large Kulu-Ya-Ku Plume,9,Materials,2500,25000
1100,Large Kulu-Ya-Ku Beak,9,Materials,2550,25500
1101,Pukei-Pukei Shard,9,Materials,1580,15800
1102,Pukei-Pukei Cortex,9,Materials,2220,22200
1103,Pukei-Pukei Fellwing,9,Materials,2920,29200
1104,Large Pukei-Pukei Sac,9,Materials,2980,29800
1105,Pukei-Pukei Lash,9,Materials,2860,28600
1106,Coral Pukei-Pukei Shard,9,Materials,2340,23400
1107,Coral Pukei-Pukei Cortex,9,Materials,3360,33600
1108,Coral Pukei-Pukei Fellwing,9,Materials,4460,44600
1109,Large Coral Pukei-Pukei Sac,9,Materials,4540,45400
1110,Coral Pukei-Pukei Lash,9,Materials,4380,43800
1111,Barroth Cortex,9,Materials,1470,14700
1112,Barroth Chine,9,Materials,2170,21700
1113,Barroth Hardclaw,9,Materials,2870,28700
1114,Barroth Crown,9,Materials,3430,34300
1115,Barroth Lash,9,Materials,3280,32800
1116,Rich Mud,9,Materials,1610,16100
1117,Jyuratodus Shard,9,Materials,1480,14800
1118,Jyuratodus Cortex,9,Materials,2180,21800
1119,Jyuratodus Hardfang,9,Materials,2880,28800
1120,Jyuratodus Grandfin,9,Materials,3040,30400
1121,Beotodus Shard,9,Materials,1530,15300
1122,Beotodus Cortex,9,Materials,2230,22300
1123,Beotodus Hardhorn,9,Materials,2930,29300
1124,Beotodus Grandfin,9,Materials,3190,31900
1125,Tobi-Kadachi Shard,9,Materials,1490,14900
1126,Tobi-Kadachi Thickfur,9,Materials,2190,21900
1127,Tobi-Kadachi Membrane+,9,Materials,3200,32000
1128,Tobi-Kadachi Hardclaw,9,Materials,2890,28900
1129,Tobi-Kadachi Cathode,9,Materials,3070,30700
1130,Viper Tobi-Kadachi Shard,9,Materials,2190,21900
1131,Viper Tobi-Kadachi Thickfur,9,Materials,3290,32900
1132,Viper Tobi-Kadachi Membrane+,9,Materials,4700,47000
1133,Viper Tobi-Kadachi Hardclaw,9,Materials,4390,43900
1134,Viper Tobi-Kadachi Thorn,9,Materials,4570,45700
1135,Banbaro Cortex,9,Materials,1540,15400
1136,Banbaro Chine,9,Materials,2240,22400
1137,Banbaro Great Horn,9,Materials,2940,29400
1138,Banbaro Lash,9,Materials,3220,32200
1139,Anjanath Shard,9,Materials,2160,21600
1140,Anjanath Fur,9,Materials,3260,32600
1141,Anjanath Hardfang,9,Materials,4360,43600
1142,Heavy Anjanath Nosebone,9,Materials,4480,44800
1143,Anjanath Lash,9,Materials,4420,44200
1144,Anjanath Mantle,11,Materials,12000,120000
1145,Fulgur Anjanath Shard,10,Materials,2900,29000
1146,Fulgur Anjanath Thickfur,10,Materials,4400,44000
1147,Fulgur Anjanath Hardfang,10,Materials,5900,59000
1148,Heavy Fulgur Anjanath Nosebone,10,Materials,6100,61000
1149,Fulgur Anjanath Lash,10,Materials,6000,60000
1150,Fulgur Anjanath Mantle,11,Materials,15000,150000
1151,Rathian Shard,9,Materials,2170,21700
1152,Rathian Cortex,9,Materials,3270,32700
1153,Rathian Weave,9,Materials,4370,43700
1154,Rathian Surspike,9,Materials,4510,45100
1155,Rathian Mantle,11,Materials,12000,120000
1156,Pink Rathian Shard,9,Materials,2430,24300
1157,Pink Rathian Cortex,9,Materials,3530,35300
1158,Gold Rathian Shard,11,Materials,4350,43500
1159,Gold Rathian Cortex,11,Materials,6650,66500
1160,Gold Rathian Surspike,11,Materials,9150,91500
1161,Tzitzi-Ya-Ku Shard,9,Materials,1300,13000
1162,Tzitzi-Ya-Ku Thickhide,9,Materials,1900,19000
1163,Tzitzi-Ya-Ku Hardclaw,9,Materials,2500,25000
1164,Tzitzi-Ya-Ku Photomembrane,9,Materials,2600,26000
1165,Paolumu Thickfur,9,Materials,3240,32400
1166,Paolumu Shard,9,Materials,2140,21400
1167,Paolumu Cortex,9,Materials,4380,43800
1168,Paolumu Fellwing,9,Materials,4340,43400
1169,Nightshade Paolumu Thickfur,9,Materials,3300,33000
1170,Nightshade Paolumu Shard,9,Materials,2200,22000
1171,Nightshade Paolumu Fellwing,9,Materials,4400,44000
1172,Great Girros Shard,9,Materials,1310,13100
1173,Great Girros Thickhide,9,Materials,1910,19100
1174,Great Girros Hardhood,9,Materials,2730,27300
1175,Great Girros Hardfang,9,Materials,2130,21300
1176,Great Girros Lash,9,Materials,2510,25100
1177,Radobaan Shard,9,Materials,2150,21500
1178,Radobaan Cortex,9,Materials,3250,32500
1179,Radobaan Oilshell+,9,Materials,4400,44000
1180,Large Wyvern Bonemass,9,Materials,4350,43500
1181,Legiana Shard,10,Materials,2840,28400
1182,Legiana Thickhide,10,Materials,4340,43400
1183,Legiana Hardclaw,10,Materials,5840,58400
1184,Legiana Fellwing,10,Materials,5880,58800
1185,Legiana Tail Webbing+,10,Materials,5920,59200
1186,Legiana Mantle,11,Materials,15000,150000
1188,Rimed Hide,10,Materials,5460,54600
1189,Obsidian Icetalon,10,Materials,7360,73600
1190,Stark Wing,10,Materials,7420,74200
1193,Odogaron Shard,10,Materials,2850,28500
1194,Hard Odogaron Sinew,10,Materials,4350,43500
1195,Odogaron Hardclaw,10,Materials,5850,58500
1196,Odogaron Hardfang,10,Materials,5900,59000
1197,Odogaron Lash,10,Materials,6000,6000
1198,Odogaron Mantle,11,Materials,15000,150000
1199,Ebony Odogaron Shard,10,Materials,3580,35800
1200,Hard Ebony Odogaron Sinew,10,Materials,5480,54800
1201,Ebony Odogaron Hardclaw,10,Materials,7380,73800
1202,Ebony Odogaron Hardfang,10,Materials,7460,74600
1203,Ebony Odogaron Lash,10,Materials,7620,76200
1204,Ebony Odogaron Mantle,11,Materials,18000,180000
1205,Rathalos Shard,10,Materials,2870,28700
1206,Rathalos Cortex,10,Materials,4370,43700
1207,Rathalos Fellwing,10,Materials,5940,59400
1208,Rathalos Lash,10,Materials,6010,60100
1209,Rath Wingtalon+,10,Materials,5870,58700
1210,Rathalos Mantle,11,Materials,15000,150000
1211,Azure Rathalos Shard,10,Materials,3550,35500
1212,Azure Rathalos Cortex,10,Materials,5450,54500
1213,Azure Rathalos Lash,10,Materials,7500,75000
1214,Azure Rathalos Fellwing,10,Materials,7350,73500
1215,Silver Rathalos Shard,11,Materials,4370,43700
1216,Silver Rathalos Cortex,11,Materials,6670,66700
1217,Silver Rathalos Fellwing,11,Materials,9140,91400
1218,Silver Rathalos Lash,11,Materials,9480,94800
1219,Rath Gleam,11,Materials,8970,89700
1220,Diablos Cortex,10,Materials,2880,28800
1221,Diablos Chine,10,Materials,4380,43800
1222,Diablos Tailcase+,10,Materials,5960,59600
1223,Twisted Stouthorn,10,Materials,7540,75400
1224,Diablos Hardhorn,11,Materials,15000,150000
1225,Black Diablos Cortex,10,Materials,3540,35400
1226,Black Diablos Chine,10,Materials,5440,54400
1227,Blackcurl Stouthorn,10,Materials,8140,81400
1228,Dodogama Shard,9,Materials,1520,15200
1229,Dodogama Thickhide,9,Materials,2220,22200
1230,Dodogama Mandible,9,Materials,3280,32800
1231,Dodogama Hardclaw,9,Materials,3040,30400
1232,Dodogama Lash,9,Materials,3520,35200
1233,Lavasioth Shard,10,Materials,2860,28600
1234,Lavasioth Cortex,10,Materials,4360,43600
1235,Lavasioth Hardfang,10,Materials,5860,58600
1236,Lavasioth Grandfin,10,Materials,5920,59200
1237,Uragaan Shard,10,Materials,2890,28900
1238,Uragaan Cortex,10,Materials,4390,43900
1239,Uragaan Jaw+,10,Materials,6070,60700
1240,Uragaan Scute+,10,Materials,5470,54700
1241,Uragaan Pallium,11,Materials,15000,150000
1242,Barioth Cortex,10,Materials,2910,29100
1243,Barioth Thickfur,10,Materials,4410,44100
1244,Barioth Hardclaw,10,Materials,5910,59100
1245,Barioth Greatspike,10,Materials,6020,60200
1246,Barioth Lash,10,Materials,6130,61300
1247,Amber Hardfang,10,Materials,6240,62400
