_id,name,rarity,carry_capacity,buy,sell,description,icon_name,icon_color,account
642,Arzuros Shell,4,99,2700,270,A shell piece from an Arzuros's head or back. Bends willingly and is easy to forge.,icon_shell,3,0
643,Arzuros Carapace,6,99,8100,810,A quality Arzuros carapace. The thick shell can withstand bites from ordinary fangs.,icon_shell,3,0
644,Arzuros Cortex,8,99,24300,2430,A superior Arzuros cortex. This highly-developed shell is a huge thorn in all hunters' sides.,icon_shell,3,0
645,Arzuros Brace,4,99,3600,360,A brace from an Arzuros's forelegs. Its sharp points give forged equipment a wild flavor.,icon_carapace,3,0
646,Arzuros Brace+,6,99,10800,1080,A strong Arzuros brace. Its thorn-like protrusions make paw swipes deadly.,icon_carapace,3,0
647,Arzuros Allbrace,8,99,32400,3240,"A supreme brace found only on certain Arzuros. Its tough, thornlike protrusions silence foes.",icon_carapace,3,0
648,Redhelm Pelt,6,99,3100,310,A pelt hard enough to pierce flesh. Its looks embody the Redhelm Arzuros's brutality.,icon_hide,1,0
649,Redhelm Pelt+,7,99,9300,930,A quality pelt that's hard and durable. Epitomizes the Redhelm's viciousness.,icon_hide,1,0
650,Redhelm Fur,9,99,27900,2790,The bristles in the Redhelm's fur show how shockingly ferocious it can be.,icon_hide,1,0
651,Redhelm Shell,6,99,3800,380,A shell from a Redhelm Arzuros. Even its hard and sturdy shell looks fierce.,icon_shell,1,0
652,Redhelm Carapace,7,99,11400,1140,A superior Redhelm Arzuros scale. Even its thick and sturdy shell looks ferocious.,icon_shell,1,0
653,Redhelm Cortex,9,99,34200,3420,"A superior Redhelm cortex. Extremely tough, evincing a ferocity that can dazzle the eye.",icon_shell,1,0
654,Redhelm Ragehair,6,99,5700,570,The hair from the head of a Redhelm Arzuros. Its looks befit the beast's wild nature.,icon_hide,1,0
655,Redhelm Furyhair,7,99,17100,1710,High quality hair from the head of a Redhelm Arzuros that embodies its ferocity.,icon_hide,1,0
656,Redhelm Zenith Furyhair,9,99,51300,5130,"Redhelm head hair of the highest quality. Extremely thick, showing off the creature's pure rage.",icon_hide,1,0
657,Lagombi Pelt,4,99,2800,280,"A white pelt carved from a Lagombi. One touch and you'll be hooked on its soft, fluffy fur.",icon_hide,0,0
658,Lagombi Pelt+,6,99,8400,840,"A quality white Lagombi pelt. Its glossy, frosty shine makes it a sought-after luxury item.",icon_hide,0,0
659,Lagombi Fur,8,99,25200,2520,"The very finest Lagombi fur, durable and yet surprisingly soft. A top-shelf item.",icon_hide,0,0
660,Lagombi Ear,4,99,4200,420,The long ear of a Lagombi. A lifetime in frigid environments has made it hard as a shell.,icon_carapace,0,0
661,Lagombi Ear+,6,99,12600,1260,"An impressive Lagombi ear. Highly developed, it can become sharp as steel if polished.",icon_carapace,0,0
662,Lagombi Plastron,4,99,3200,320,A shell piece from a Lagombi's belly. Its ridges are what allow the Lagombi to slide on ice.,icon_carapace,0,0
663,Lagombi Plastron+,6,99,9600,960,"A strong, sticky, and thick Lagombi Plastron. Used to make superior equipment.",icon_carapace,0,0
664,Lagombi Cuirass,8,99,28800,2880,"Tougher and thicker even than Lagombi Plastrons, and glints from many ice-polishings.",icon_carapace,0,0
665,Lagombi Iceclaw,4,99,2100,210,A Lagombi claw that's cold to the touch. Permanently covered in ice from a frigid climate.,icon_fang,0,0
666,Lagombi Frozenclaw,6,99,6300,630,A Lagombi claw surrounded by cold air. Wounds it causes freeze over in an instant.,icon_fang,0,0
667,Lagombi Frigidclaw,8,99,18900,1890,"Fearsomely sharp and tough, even among Lagombi claws, able to tear up and freeze prey.",icon_fang,0,0
668,Snowbaron Pelt,6,99,3900,390,A pelt that was carved from a Snowbaron Lagombi. It looks fluffy and is soft to the touch.,icon_hide,11,0
669,Snowbaron Pelt+,7,99,11800,1180,"A hardened pelt taken from a Snowbaron Lagombi. Although stiff, it has a pleasing feel to it.",icon_hide,11,0
670,Snowbaron Fur,9,99,35400,3540,Particularly durable fur. The hairs feel wiry but the prickly sensation is actually quite comfortable.,icon_hide,11,0
671,Snowbaron Plastron,6,99,4500,450,A shell piece from a Snowbaron Lagombi's belly. It is known for its deep ridges.,icon_carapace,5,0
672,Snowbaron Plastron+,7,99,13500,1350,A high-quality Snowbaron Lagombi plastron. Its deep ridges give it a nice shape.,icon_carapace,5,0
673,Snowbaron Cuirass,9,99,40500,4050,"Even better than the Snowbaron Lagombi plastron, its pleasing shape approaches fine art.",icon_carapace,5,0
674,Volvidon Shell,4,99,3500,350,The heat-resistant shell of a Volvidon. Unaffected even by boiling lava.,icon_shell,1,0
675,Volvidon Carapace,6,99,10500,1050,A thick Volvidon carapace. Extra elasticity means extreme pressure is required to forge it.,icon_shell,1,0
676,Volvidon Cortex,8,99,31500,3150,"A heavy Volvidon cortex. Difficult to forge with, but can produce very powerful gear.",icon_shell,1,0
677,Volvidon Claw,4,99,4200,420,A claw from a Volvidon's forelegs. Dramatically increases the power of a wide swing.,icon_fang,1,0
678,Volvidon Claw+,6,99,12600,1260,"A hard, sharp Volvidon claw. Constant exposure to heat has tempered it like steel.",icon_fang,1,0
679,Volvidon Talon,8,99,25200,2520,A punishing Volvidon claw. Its solidity and sharpness is almost overwhelming.,icon_fang,1,0
680,Volvi Rickrack,4,99,7500,750,The jagged shell of a Volvidon's back. Its high elasticity makes it ideal for crafting flexible gear.,icon_carapace,1,0
681,Large Volvi Rickrack,8,99,45000,4500,A larger variety of Volvidon shell. It combines flexibility and durability in one package.,icon_carapace,1,0
682,Kut-Ku Scale,4,99,2500,250,Pink scale from a Kut-Ku. Fire resistant. Can be found in the field.,icon_scale,8,0
683,Kut-Ku Scale+,6,99,7500,750,Superior scale from a Kut-Ku. Its size and weight make it look classier than normal.,icon_scale,8,0
684,Kut-Ku Shard,8,99,22500,2250,A superb Kut-Ku scale. It's rare to see scales mature to this degree.,icon_scale,8,0
685,Kut-Ku Shell,4,99,3450,345,The Fire-resistant shell of a Kut-Ku.,icon_shell,8,0
686,Kut-Ku Carapace,6,99,10350,1035,"Harder than Kut-Ku Shell, this material is also known as Gravite.",icon_shell,8,0
687,Kut-Ku Cortex,8,99,31050,3105,"A stout outer shell, much harder than a carapace. Also called Mediastinum.",icon_shell,8,0
688,Kut-Ku Ear,4,99,12800,1280,The Fire-resistant ear of a Kut-Ku. Used to prevent Bowguns backfiring.,icon_carapace,8,0
689,Kut-Ku Auricle,6,99,25600,2560,A Kut-Ku's Fire-resistant ear. The flexible material is a good base for armor.,icon_carapace,8,0
690,Kut-Ku Luckear,8,99,51200,5120,A full grown Kut-Ku ear. Considered a good luck charm due to its texture and form.,icon_carapace,8,0
691,Giant Beak,4,99,15000,1500,"The huge, sturdy beak of a Yian Kut-Ku.",icon_bone,8,0
692,Splendid Beak,6,99,30000,3000,"Finding a large, beautiful beak in this condition is quite rare! Splendid!",icon_bone,8,0
693,Kut-Ku Webbing,4,99,6500,650,Webbing from a Kut-Ku wing. Better than animal skin as a fusing material.,icon_webbing,8,0
694,Kut-Ku Weave,8,99,58500,5850,"Bulky webbing from a Kut-Ku wing, valued for its greater than normal powers of endurance.",icon_webbing,8,0
695,Hyper Kut-Ku Scale,6,99,9000,900,"Darker than normal Kut-Ku scales, this Hyper scale emits an ominous glow.",icon_scale,8,0
696,Hyper Kut-Ku Shard,8,99,27000,2700,"Darker than normal Kut-Ku scales, this tough Hyper scale emits an ominous glow.",icon_scale,8,0
697,Rubbery Hide,4,99,3700,370,"Highly elastic Gypceros hide. A good insulator, resistant to electricity.",icon_hide,3,0
698,Rubbery Hide+,6,99,11100,1110,"High-quality, highly elastic Gypceros hide. Gives off a strange scent.",icon_hide,3,0
699,Rubbery Finehide,8,99,33300,3330,"A special, highly elastic Gypceros hide. It absorbs any attack.",icon_hide,3,0
700,Gypceros Webbing,4,99,7800,780,"Webbing from a Gypceros wing. A good insulator, it is also resistant to poison.",icon_webbing,3,0
701,Gypceros Weave,8,99,55200,5520,Bulky webbing from a Gypceros wing. Its improved insulation and toxin resistance make it valuable.,icon_webbing,3,0
702,Gypceros Wing,6,99,18400,1840,A wing from a Gypceros. It is highly elastic and is a good insulator against electricity.,icon_carapace,3,0
703,Gypceros Head,5,99,22000,2200,The uniquely shaped head of a Gypceros. A must have for Gypceros lovers!,icon_carapace,3,0
704,Gypceros Hardhead,9,99,88000,8800,"The hard, rubber-like head of a Gypceros. The rock-like noggin's popular among Gypceros fans.",icon_carapace,3,0
705,Hyper Gypceros Hide,6,99,13200,1320,"Darker than normal Gypceros hide, this Hyper hide emits an ominous glow.",icon_hide,3,0
706,Hyper Gypceros Piel,8,99,39600,3960,"Darker than normal Gypceros hide, this hardy Hyper hide emits an ominous glow.",icon_hide,3,0
707,Azurefeather,4,99,3900,390,"The blue scalefeather of a Malfestio, the secret behind its silent flight.",icon_carapace,15,0
708,Azurefeather+,6,99,11700,1170,A high-quality Malfestio scalefeather. Used in clothing as well as armor.,icon_carapace,15,0
709,Azure Plume,8,99,35100,3510,A scalefeather only found on a small number of Malfestios. Shines with ethereal colors.,icon_carapace,15,0
710,Malfestio Webbing,4,99,7500,750,Webbing from a Malfestio wing. Its scales gather sound and emit a strange echo pattern.,icon_webbing,6,0
711,Malfestio Wing,6,99,22500,2250,The deep blue wing of a Malfestio. Widely known for its beautiful curves.,icon_carapace,15,0
712,Malfestio Grandwing,8,99,67500,6750,"Malfestio wing with a refined curve, whose vivid blue color dazzles anyone who sees it.",icon_carapace,15,0
713,Malfestio Wingtalon,4,99,4800,480,A hard talon found at the end of a Malfestio wing. It's as sharp as a sword.,icon_fang,15,0
714,Malfestio Wingtalon+,6,99,14400,1440,"A high-quality talon from a Malfestio wing. Hard and sharp, it's difficult to work with.",icon_fang,15,0
715,Malfestio Hrd Wingtalon,8,99,43200,4320,A high-quality talon from a Malfestio wing. Very hard and can be made exquisitely sharp.,icon_fang,15,0
716,Malfestio Ear,4,99,13600,1360,"The ear of a Malfestio. Smooth to the touch, it's quite muscular due to its constant movement.",icon_carapace,15,0
717,Malfestio Luckear,8,99,40800,4080,A big fleshy piece of Malfestio ear which has a multitude of uses.,icon_carapace,15,0
718,Malfestio Tailfeather,4,99,18600,1860,The flamboyant tail feather of a Malfestio. Its color gradually changes from blue to gold.,icon_carapace,15,0
719,Malfestio Tailblade,8,99,55800,5580,A high-quality tail feather taken from a Malfestio. As beautiful as it is dangerous.,icon_carapace,15,0
720,Malfestio Goldfeather,7,99,83000,8300,The magnificent golden feather of a Malfestio. Collectors prize it for its sense of flair.,icon_carapace,15,0
721,Malfestio Goldfeather+,9,99,107900,10790,A particularly high quality golden feather which enchants anyone who gazes upon it.,icon_carapace,15,0
722,Hyper Azurefeather,6,99,14000,1400,"Darker than normal Malfestio scalefeathers, it emits an ominous glow.",icon_carapace,15,0
723,Hyper Azurefeather+,8,99,42000,4200,"Darker than normal Malfestio scalefeathers, this tough Hyper feather emits an ominous glow.",icon_carapace,15,0
724,Nightcloak Plume,9,99,49100,4910,A fine feather taken from a Nightcloak Malfestio. The color changes with viewing angle.,icon_scale,15,0
725,Nightcloak Grandwing,9,99,94500,9450,The plumage taken from a Nightcloak Malfestio is extra fine and deep in color.,icon_carapace,1,0
726,Nightcloak Clearscale,9,99,63800,6380,"Camouflages a Nightcloak in the wild, but weapons fashioned with them stand out in a crowd.",icon_sac,0,0
727,Garuga Scale,4,99,4900,490,A scale carved from Yian Garuga. It shines an ominous purple.,icon_scale,5,0
728,Garuga Scale+,6,99,14700,1470,"Superior Garuga scale. Looks like a Kut-Ku scale, but it's much tougher.",icon_scale,5,0
729,Garuga Shard,8,99,44100,4410,A top-grade Garuga scale. It sparkles like purple quartz and is just as hard.,icon_scale,5,0
730,Garuga Shell,4,99,6500,650,"A rare item, also in great demand as a research material.",icon_shell,5,0
731,Garuga Carapace,6,99,19500,1950,Garuga Shell that's become strong over the years. Great skill is needed to work it.,icon_shell,5,0
732,Garuga Cortex,8,99,58500,5850,"A heavy, dark purple outer shell with an unusually intimidating air about it.",icon_shell,5,0
733,Garuga Ear,4,99,15000,1500,Its shape and form show a different evolutionary path than Yian Kut-Ku.,icon_carapace,5,0
734,Garuga Auricle,6,99,30000,3000,Well-developed Garuga Ear. It's said to heighten one's senses when crafted into armor.,icon_carapace,5,0
735,Sharpened Beak,4,99,18000,1800,The sharpened beak of a Yian Garuga. Looks fiercer than that of a Kut-Ku.,icon_bone,5,0
736,Rejuvenated Beak,6,99,36000,3600,"A Yian Garuga beak. Its color, luster, and the jawline's angle have been restored.",icon_bone,5,0
737,Garuga Wing,4,99,19500,1950,A first class material that requires high crafting skills to work with.,icon_carapace,5,0
738,Garuga Fellwing,8,99,78000,7800,"A large, well-developed Garuga wing. It's highly sought after by crafters the world round.",icon_carapace,5,0
739,Garuga Tail,4,99,20000,2000,The tail of a Yian Garuga. Responds to shocks by spouting a powerful venom.,icon_carapace,5,0
740,Garuga Lash,8,99,80000,8000,"A tough, hard tail that stores within a deadly poison that kills its target in seconds.",icon_carapace,5,0
741,Garuga Mane,4,99,18000,1800,Mane from a Yian Garuga. Unusually intimidating.,icon_carapace,5,0
742,Garuga Silverpelt,8,99,72000,7200,A shimmering silver pelt that mesmerizes all with its beauty when it flutters.,icon_carapace,0,0
743,Hyper Garuga Scale,6,99,17600,1760,"Darker than normal Garuga scales, this Hyper scale emits an ominous glow.",icon_scale,5,0
744,Hyper Garuga Shard,8,99,52800,5280,"Darker than normal Garuga scales, this tough Hyper scale emits an ominous glow.",icon_scale,5,0
745,Deadeye Scale,6,99,6900,690,A scale taken from a Deadeye Yian Garuga. Bears the scars of many hard-fought battles.,icon_scale,16,0
746,Deadeye Scale+,7,99,20700,2070,A hardened scale of a Deadeye Yian Garuga. Bears the scars of many hard-fought battles.,icon_scale,16,0
747,Deadeye Shard,9,99,62100,6210,The thick top shell of a Deadeye Yian Garuga. Bears the scars of many hard-fought battles.,icon_scale,16,0
748,Deadeye Shell,6,99,9100,910,The shell of a Deadeye Yian Garuga. Bears the scars of many hard-fought battles.,icon_shell,16,0
749,Deadeye Carapace,7,99,27300,2730,A hardened shell of a Deadeye Yian Garuga. Bears the scars of many hard-fought battles.,icon_shell,16,0
750,Deadeye Cortex,9,99,81900,8190,A very hard Deadeye Yian Garuga shell. Bears the scars of many hard-fought battles.,icon_shell,16,0
751,Mosswine Hide,5,99,360,36,A musty hide covered in moss.,icon_hide,8,0
752,Mosswine Thick Hide,9,99,3200,320,"A thick, musty hide covered in moss.",icon_hide,8,0
753,Bullfango Pelt,4,99,400,40,"A pelt from a Bullfango, covered in bristly fur.",icon_hide,7,0
754,Bullfango Pelt+,6,99,1200,120,A high-quality pelt from a Bullfango. It's as tough as it is bristly.,icon_hide,7,0
755,Bullfango Thickfur,8,99,6000,600,A top-quality pelt from a Bullfango. The fur is particularly dense and bristly.,icon_hide,7,0
756,Bullfango Head,5,99,1300,130,"A Bullfango head, complete with two splendid tusks.",icon_carapace,7,0
757,Bulldrome Hide,4,99,2300,230,The hide of a Bulldrome. Its bristliness has a certain beauty to it.,icon_hide,0,0
758,Bulldrome Hide+,6,99,6900,690,"The tough, unblemished hide of a Bulldrome.",icon_hide,0,0
759,Bulldrome Thickhide,8,99,20700,2070,The thick skin from a Bulldrome. It's too tough to get scratched through regular use.,icon_hide,0,0
760,Bulldrome Tusk,4,99,2600,260,A majestic Bulldrome Tusk. The damaged surface tells the tale of many battles.,icon_fang,0,0
761,Bulldrome Tusk+,6,99,7800,780,The large tusk of a majestic Bulldrome. It has been hardened through battle.,icon_fang,0,0
762,Bulldrome Hardtusk,8,99,23400,2340,"The large, hard tusk of a majestic Bulldrome. Hardened through countless battles.",icon_fang,0,0
763,Conga Pelt+,6,99,1800,180,The hard pelt of a Conga. The thick fur can be used to make long-lasting equipment.,icon_hide,8,0
764,Conga Fur,8,99,5400,540,"The hard fur of a Conga has to be sanitized before use, but its toughness is top notch.",icon_hide,8,0
765,Beastly Fang,8,99,38500,3850,A large fang from a Fanged Beast that can chomp the hardest of boulders in half.,icon_fang,4,0
766,Congalala Pelt+,6,99,11000,1100,The stout fur of a Congalala. Important crafting material.,icon_hide,8,0
767,Congalala Fur,8,99,33000,3300,"The stout hairs of this pelt, coupled with its glossy coat make it highly valuable.",icon_hide,8,0
768,Congalala Fang,6,99,7700,770,The fang of a Congalala. Solid enough to crunch objects into dust.,icon_fang,8,0
769,Congalala Claw+,6,99,15000,1500,"A long, hard, sharp claw with a wild nature that makes crafting difficult.",icon_fang,8,0
770,Vibrant Pelt,6,99,12000,1200,Vibrant hair that grows on the head of a Congalala. The colors are lovely.,icon_hide,4,0
771,Vibrant Fur,8,99,54000,5400,The best vibrant hair from the head of a Congalala is beautiful and tough.,icon_hide,4,0
772,Congalala Hardclaw,8,99,45000,4500,Talons evolved specifically for combat. The natural weapon of Congalala.,icon_fang,8,0
773,Hyper Congalala Pelt+,8,99,39600,3960,"Darker than normal Congalala fur, this Hyper fur emits an ominous glow.",icon_hide,8,0
774,Blango Pelt,4,99,600,60,A snow white Blango Pelt. It protects the body against the mountain cold.,icon_hide,0,0
775,Blango Pelt+,6,99,1800,180,Keeps you toasty in frigid temps; harder to work with than normal Blango Pelts.,icon_hide,0,0
776,Blango Fur,8,99,5400,540,This tough Blango fur is as beautiful as it is fascinating to craft items with.,icon_hide,0,0
777,Blangonga Pelt,4,99,5700,570,White fur with astounding thermal properties and as strong as an iron chain.,icon_hide,0,0
778,Blangonga Pelt+,6,99,11400,1140,The hardened pelt of a Blangonga. The needle-like hairs are prized material.,icon_hide,0,0
779,Blangonga Fur,8,99,34200,3420,The tough fur of a Blangonga is harder than the depths of winter.,icon_hide,0,0
780,Blangonga Fang,4,99,13500,1350,The fang of the killer Blangonga. As sharp and deadly as a dagger.,icon_fang,0,0
781,Blangonga Fang+,6,99,24900,2490,"A Blangonga dogtooth. As large as a human thigh, it has potential as a weapon.",icon_fang,0,0
782,Blangonga Hardfang,8,99,64500,6450,A Blangonga tooth that looks sharp enough to use as a skewer for cooking with.,icon_fang,0,0
783,Blangonga Whisker,4,99,22200,2220,A fine hair that sprouted from the face of a Blangonga troop leader.,icon_carapace,0,0
784,Leather Beast Pelt,8,99,41000,4100,The fine tough skin of a Blangonga troop leader displays its authority and might.,icon_carapace,0,0
785,Blangonga Tail,4,99,9800,980,The smooth feeling of a Blangonga Tail is undeniably appealing.,icon_carapace,0,0
786,Blangonga Lash,8,99,58800,5880,The tail of this Blangonga is silkier to the touch than fresh powder snow.,icon_carapace,0,0
787,Hyper Blangonga Pelt,6,99,14800,1480,"Darker than normal Blangonga pelt, this Hyper pelt emits an ominous glow.",icon_hide,0,0
788,Hyper Blangonga Pelt+,8,99,44400,4440,"Darker than normal Blangonga pelt, this Hyper pelt emits an ominous glow.",icon_hide,0,0
789,Kecha Pelt+,6,99,8400,840,"A quality Kecha Wacha pelt that manages to be durable, yet still soft to the touch.",icon_hide,7,0
790,Kecha Fur,8,99,25200,2520,"A fine Kecha Wacha pelt with a warm color and soft, sturdy coat. Very popular.",icon_hide,7,0
791,Kecha Grandbone,6,99,14700,1470,"A quality, hardened arm bone that makes excellent armor in a gifted forger's hands.",icon_bone,7,0
792,Kecha Leadbone,8,99,44100,4410,A dense arm bone whose slender sturdiness makes it fine weapon material.,icon_bone,7,0
793,Kecha Talon,6,99,16800,1680,"A thick, sharp talon that evolved for climbing up ivy.",icon_fang,7,0
794,Kecha Ripper,8,99,33600,3360,A unique hooked talon for crossing vines. Poses a threat in battle as well.,icon_fang,7,0
795,Kecha Ear+,6,99,26000,2600,"The unmistakable, ocellated ear of a Kecha Wacha. Larger spots fetch a higher price.",icon_carapace,7,0
796,Kecha Auricle,8,99,52000,5200,"The unmistakable, ocellated ear of a Kecha Wacha. Larger spots fetch a higher price.",icon_carapace,7,0
797,Kecha Tail,6,99,21600,2160,A tail with soft strands of hair. It feels wonderful to the touch.,icon_carapace,7,0
798,Kecha Lash,8,99,43200,4320,"A quality Kecha Wacha tail. Strong and supple, it may as well count as a third arm.",icon_carapace,7,0
799,Hyper Kecha Pelt,6,99,10100,1010,"Darker than normal Kecha pelt, this Hyper pelt emits an ominous glow.",icon_hide,7,0
800,Hyper Kecha Pelt+,8,99,30300,3030,"Darker than normal Kecha pelt, this tough Hyper pelt emits an ominous glow.",icon_hide,7,0
801,Small Lobstershell,5,99,15000,1500,The shell from a King Lobster. A rare find.,icon_shell,8,0
802,Large Lobstershell,7,99,35000,3500,A large shell from a King Lobster that was used as bait. Very rare.,icon_shell,8,0
803,Giant Lobstershell,9,99,65400,6540,A large shell from a King Lobster that was used as bait. Very rare.,icon_shell,8,0
804,Cephalos Scale,4,99,4000,400,A sand wyvern scale. Its color is a brilliant blue. Retains moisture.,icon_scale,6,0
805,Cephalos Scale+,6,99,12000,1200,"High-quality sand wyvern scale. It absorbs moisture, leaving it glowing blue.",icon_scale,6,0
806,Cephalos Shard,8,99,36000,3600,"A thick scale packed with moisture, giving it a weird texture hunters go for.",icon_scale,6,0
807,Cephalos Fin,4,99,5500,550,"A sand wyvern fin. It isn't poisonous, but it's very sharp.",icon_carapace,6,0
808,Cephalos Fin+,6,99,16500,1650,A quality fin that is sharper than other comparable samples.,icon_carapace,6,0
809,Cephalos Grandfin,8,99,37900,3790,A high-quality Cephalos fin. Much sharper than your run-of-the-mill fin.,icon_carapace,6,0
810,Cephalos Fang,4,99,2800,280,"The fang of a Cephalos, which are known for their rows of jagged and razor-sharp teeth.",icon_fang,6,0
811,Cephalos Fang+,6,99,8400,840,A sharp row of teeth made for sinking deep into prey.,icon_fang,6,0
812,Cephalos Hardfang,8,99,25200,2520,An evolved fang. Strong and sharp enough to chew right through a Carapaceon.,icon_fang,6,0
813,Plesioth Scale+,6,99,14400,1440,A high-grade Plesioth scale with a lapis lazuli glow. It shines even when dry.,icon_scale,3,0
814,Plesioth Shard,8,99,43200,4320,A thick Plesioth scale with a lapis lazuli glow. It fends off claw and fang attacks.,icon_scale,3,0
815,Plesioth Fin+,6,99,16400,1640,A radiant Plesioth fin. Below the surface lie sharp barbs with a deadly neurotoxin.,icon_carapace,3,0
816,Plesioth Grandfin,8,99,49200,4920,The finest and most lovely of all Plesioth fins. Produces top-class armor when forged.,icon_carapace,3,0
817,Plesioth Fang+,6,99,7500,750,A finely honed Plesioth Fang. Sharp enough to shatter the shells of small Carapaceons.,icon_fang,3,0
818,Plesioth Hardfang,8,99,22500,2250,"A powerful, highly-developed Plesioth Fang. It can crush large Carapaceons with ease.",icon_fang,3,0
819,Plesioth Webbing,6,99,24400,2440,"Difficult to forge with, but its water-retention properties make it popular as armor lining.",icon_webbing,3,0
820,Hrd Ples Webbing,8,99,73200,7320,"Stronger than normal webbing, and just as water-retentive. Ideal for lining armor.",icon_webbing,3,0
821,Plesioth Head,6,99,28900,2890,"A surprisingly hard head prized as armor material. Might make for a great party gag, too.",icon_carapace,3,0
822,Uber Plesio Head,8,99,86700,8670,A frighteningly hard head found on a select few Plesioth. Among the very best in armor materials.,icon_carapace,3,0
823,Hyper Plesioth Scale,6,99,17300,1730,"Darker than normal Plesioth scales, this Hyper scale emits an ominous glow.",icon_scale,3,0
824,Hyper Plesioth Shard,8,99,51900,5190,"Darker than normal Plesioth scales, this tough Hyper scale emits an ominous glow.",icon_scale,3,0
825,Lavasioth Scale+,6,99,18300,1830,A superior Lavasioth scale. The encrusted lava leaves behind a brilliant gold sheen.,icon_scale,10,0
826,Lavasioth Shard,8,99,59400,5940,A thick Lavasioth scale. Under the encrusted lava lies a golden treasure.,icon_scale,10,0
827,Lavasioth Carapace,6,99,22100,2210,"Lavasioth carapace encrusted with rare hardened minerals, making for excellent armor.",icon_shell,10,0
828,Lavasioth Cortex,8,99,66250,6625,"Heavy Lavasioth carapace covered in hardened minerals, making for excellent armor.",icon_shell,10,0
829,Lavasioth Fang+,6,99,13500,1350,A sharp fang from a Lavasioth. Its size is unusual for a Piscine Wyvern.,icon_fang,10,0
830,Lavasioth Hardfang,8,99,40500,4050,"A hard, sharp Lavasioth fang. Its size is unusual for a Piscine Wyvern.",icon_fang,10,0
831,Lavasioth Fin+,6,99,24900,2490,A high-quality fin that has been sharpened into a virtual weapon due to the lava's heat.,icon_carapace,10,0
832,Lavasioth Grandfin,8,99,74500,7450,A top-grade Lavasioth fin. The magma has endowed it with an extremely sharp edge.,icon_carapace,10,0
833,Hyper Lavasioth Scale,6,99,21900,2190,"Darker than normal Lavasioth scales, this Hyper scale emits an ominous glow.",icon_scale,10,0
834,Hyper Lavasioth Shard,8,99,65700,6570,"Darker than normal Lavasioth scales, this tough Hyper scale emits an ominous glow.",icon_scale,10,0
835,Hydro Hide,4,99,1800,180,Hide that is highly resistant to Water. Don't expect it to sell for much.,icon_hide,9,0
836,Hydro Hide+,6,99,5400,540,"The durable hide of an aquatic monster. Highly Water-resistant, and in especially good shape.",icon_hide,9,0
837,Hydro Piel,8,99,10800,1080,"This thick, durable hide of an aquatic monster is highly water-resistant.",icon_hide,9,0
838,Immature Sponge,4,99,2000,200,A sponge from the sea that is not fully developed. Demand for it is high in general.,icon_carapace,4,0
839,Spongy Hide,4,99,3200,320,Hide that is highly resistant to Water. Don't expect it to sell for much.,icon_hide,4,0
840,Spongy Hide+,6,99,9600,960,High-grade elastic hide that boasts a remarkable ability to retain water.,icon_hide,4,0
841,Spongy Piel,8,99,28800,2880,Nearly flawless elastic hide that retains water better than any comparable item.,icon_hide,4,0
842,R.Ludroth Scale,4,99,2200,220,A small scale that enables graceful movement. Several are needed to forge equipment.,icon_scale,4,0
843,R.Ludroth Scale+,6,99,6600,660,"A large, strong scale from a Royal Ludroth. It reflects light in every direction.",icon_scale,4,0
844,R.Ludroth Shard,8,99,19800,1980,The ultimate Royal Ludroth scale. A rainbow of colors shimmer on its surface.,icon_scale,4,0
845,R.Ludroth Claw,4,99,5800,580,A claw from a Royal Ludroth. Adapted better to movement than to attacking.,icon_fang,4,0
846,R.Ludroth Claw+,6,99,17400,1740,"A sharp, pointed Royal Ludroth claw. It plunges deep into the earth with each step taken.",icon_fang,4,0
847,R.Ludroth Talon,8,99,52200,5220,A menacingly powerful Royal Ludroth claw that enables it to charge through any terrain.,icon_fang,4,0
848,R.Ludroth Crest,4,99,10200,1020,These crests become rigid when the beast is angry; quantity indicates status.,icon_hide,4,0
849,R.Ludroth Crest+,6,99,30600,3060,"A proud, strong crest befitting a pack leader. Its sharp horns shine magnificently.",icon_hide,4,0
850,Chic Crest,8,99,61200,6120,"A proud, strong crest befitting a pack leader. Its sharp horns shine magnificently.",icon_hide,4,0
851,R.Ludroth Tail,4,99,7200,720,"The finned tail of a Royal Ludroth, used by fishermen for their boats.",icon_carapace,4,0
852,R.Ludroth Lash,8,99,43200,4320,A superior tail from a Royal Ludroth. Its strength shows it was honed in harsh conditions.,icon_carapace,4,0
853,Hyper R.Ludroth Scale,6,99,7900,790,"Darker than normal R.Ludroth scales, this Hyper scale emits an ominous glow.",icon_scale,4,0
854,Hyper R.Ludroth Shard,8,99,23700,2370,"Darker than normal R.Ludroth scales, this tough Hyper scale emits an ominous glow.",icon_scale,4,0
855,Nibelsnarf Shell,4,99,4800,480,A shell piece from a Nibelsnarf. Its great strength and hornlike bulges produce unique gear.,icon_shell,11,0
856,Nibel Carapace,6,99,14400,1440,"A rigid Nibelsnarf carapace. Hard to forge, but the resulting equipment is worth the effort.",icon_shell,11,0
857,Nibelsnarf Cortex,8,99,43200,4320,"A heavy Nibelsnarf cortex. Difficult to forge, but capable of producing impressive gear.",icon_shell,11,0
858,Nibelsnarf Hide,4,99,6000,600,"Hide from a Nibelsnarf. Many are surprised by its bright colors, in contrast to the outer shell.",icon_hide,11,0
859,Nibelsnarf Hide+,6,99,18000,1800,Quality Nibelsnarf hide often used as lining for armor. Strong enough to withstand the desert.,icon_hide,11,0
